ZONA METROPOLITANA,CONTROL,CICLO,PRIMER INGRESO
ZM DE COLIMA-VILLA DE ALVAREZ,PRIVADO,2021,1875
ZM DE COLIMA-VILLA DE ALVAREZ,PRIVADO,2022,1847
ZM DE COLIMA-VILLA DE ALVAREZ,PRIVADO,2023,1790
ZM DE COLIMA-VILLA DE ALVAREZ,PRIVADO,2024,1936
ZM DE COLIMA-VILLA DE ALVAREZ,PUBLICO,2014,3931
ZM DE COLIMA-VILLA DE ALVAREZ,PUBLICO,2015,3882
ZM DE COLIMA-VILLA DE ALVAREZ,PUBLICO,2016,3663
ZM DE COLIMA-VILLA DE ALVAREZ,PUBLICO,2017,3578
ZM DE COLIMA-VILLA DE ALVAREZ,PUBLICO,2018,3728
ZM DE COLIMA-VILLA DE ALVAREZ,PUBLICO,2019,3896
ZM DE COLIMA-VILLA DE ALVAREZ,PUBLICO,2020,3911
ZM DE COLIMA-VILLA DE ALVAREZ,PUBLICO,2021,3843
ZM DE COLIMA-VILLA DE ALVAREZ,PUBLICO,2022,3892
ZM DE COLIMA-VILLA DE ALVAREZ,PUBLICO,2023,3753
ZM DE COLIMA-VILLA DE ALVAREZ,PUBLICO,2024,3879
ZM DE CORDOBA,PRIVADO,2014,938
ZM DE CORDOBA,PRIVADO,2015,1046
ZM DE CORDOBA,PRIVADO,2016,1106
ZM DE CORDOBA,PRIVADO,2017,1042
ZM DE CORDOBA,PRIVADO,2018,1166
ZM DE CORDOBA,PRIVADO,2019,1060
ZM DE CORDOBA,PRIVADO,2020,826
ZM DE CORDOBA,PRIVADO,2021,1069
ZM DE CORDOBA,PRIVADO,2022,1507
ZM DE CORDOBA,PRIVADO,2023,1397
ZM DE CORDOBA,PRIVADO,2024,1597
ZM DE CORDOBA,PUBLICO,2014,376
ZM DE CORDOBA,PUBLICO,2015,364
ZM DE CORDOBA,PUBLICO,2016,421
ZM DE CORDOBA,PUBLICO,2017,437
ZM DE CORDOBA,PUBLICO,2018,459
ZM DE CORDOBA,PUBLICO,2019,573
ZM DE CORDOBA,PUBLICO,2020,472
ZM DE CORDOBA,PUBLICO,2021,423
ZM DE CORDOBA,PUBLICO,2022,475
ZM DE CORDOBA,PUBLICO,2023,484
ZM DE CORDOBA,PUBLICO,2024,450
ZM DE CUAUTLA,PRIVADO,2014,1211
ZM DE CUAUTLA,PRIVADO,2015,1227
ZM DE CUAUTLA,PRIVADO,2016,1417
ZM DE CUAUTLA,PRIVADO,2017,1514
ZM DE CUAUTLA,PRIVADO,2018,1878
ZM DE CUAUTLA,PRIVADO,2019,1865
ZM DE CUAUTLA,PRIVADO,2020,1877
ZM DE CUAUTLA,PRIVADO,2021,2203
ZM DE CUAUTLA,PRIVADO,2022,2831
ZM DE CUAUTLA,PRIVADO,2023,3327
ZM DE CUAUTLA,PRIVADO,2024,3660
ZM DE CUAUTLA,PUBLICO,2014,1113
ZM DE CUAUTLA,PUBLICO,2015,1132
ZM DE CUAUTLA,PUBLICO,2016,1635
ZM DE CUAUTLA,PUBLICO,2017,1656
ZM DE CUAUTLA,PUBLICO,2018,1752
ZM DE CUAUTLA,PUBLICO,2019,1873
ZM DE CUAUTLA,PUBLICO,2020,1544
ZM DE CUAUTLA,PUBLICO,2021,1399
ZM DE CUAUTLA,PUBLICO,2022,1719
ZM DE CUAUTLA,PUBLICO,2023,1746
ZM DE CUAUTLA,PUBLICO,2024,1814
ZM DE CUERNAVACA,PRIVADO,2014,4046
ZM DE CUERNAVACA,PRIVADO,2015,4323
ZM DE CUERNAVACA,PRIVADO,2016,4454
ZM DE CUERNAVACA,PRIVADO,2017,3946
ZM DE CUERNAVACA,PRIVADO,2018,5086
ZM DE CUERNAVACA,PRIVADO,2019,5972
ZM DE CUERNAVACA,PRIVADO,2020,4275
ZM DE CUERNAVACA,PRIVADO,2021,4090
ZM DE CUERNAVACA,PRIVADO,2022,4471
ZM DE CUERNAVACA,PRIVADO,2023,4943
ZM DE CUERNAVACA,PRIVADO,2024,4651
ZM DE CUERNAVACA,PUBLICO,2014,5655
ZM DE CUERNAVACA,PUBLICO,2015,5434
ZM DE CUERNAVACA,PUBLICO,2016,5720
ZM DE CUERNAVACA,PUBLICO,2017,5833
ZM DE CUERNAVACA,PUBLICO,2018,5731
ZM DE CUERNAVACA,PUBLICO,2019,5642
ZM DE CUERNAVACA,PUBLICO,2020,5607
ZM DE CUERNAVACA,PUBLICO,2021,5410
ZM DE CUERNAVACA,PUBLICO,2022,5649
ZM DE CUERNAVACA,PUBLICO,2023,5727
ZM DE CUERNAVACA,PUBLICO,2024,5759
ZM DE CULIACAN,PRIVADO,2014,1867
ZM DE CULIACAN,PRIVADO,2015,1997
ZM DE CULIACAN,PRIVADO,2016,2142
ZM DE CULIACAN,PRIVADO,2017,1944
ZM DE CULIACAN,PRIVADO,2018,2421
ZM DE CULIACAN,PRIVADO,2019,3182
ZM DE CULIACAN,PRIVADO,2020,3426
ZM DE CULIACAN,PRIVADO,2021,3345
ZM DE CULIACAN,PRIVADO,2022,3717
ZM DE CULIACAN,PRIVADO,2023,4307
ZM DE CULIACAN,PRIVADO,2024,3676
ZM DE CULIACAN,PUBLICO,2014,16848
ZM DE CULIACAN,PUBLICO,2015,16962
ZM DE CULIACAN,PUBLICO,2016,17627
ZM DE CULIACAN,PUBLICO,2017,18029
ZM DE CULIACAN,PUBLICO,2018,17561
ZM DE CULIACAN,PUBLICO,2019,16725
ZM DE CULIACAN,PUBLICO,2020,17092
ZM DE CULIACAN,PUBLICO,2021,15290
ZM DE CULIACAN,PUBLICO,2022,18497
ZM DE CULIACAN,PUBLICO,2023,17428
ZM DE CULIACAN,PUBLICO,2024,20717
ZM DE DELICIAS,PRIVADO,2014,132
ZM DE DELICIAS,PRIVADO,2015,141
ZM DE DELICIAS,PRIVADO,2016,162
ZM DE DELICIAS,PRIVADO,2017,159
ZM DE DELICIAS,PRIVADO,2018,295
ZM DE DELICIAS,PRIVADO,2019,332
ZM DE DELICIAS,PRIVADO,2020,328
ZM DE DELICIAS,PRIVADO,2021,366
ZM DE DELICIAS,PRIVADO,2022,412
ZM DE DELICIAS,PRIVADO,2023,220
ZM DE DELICIAS,PRIVADO,2024,130
ZM DE DELICIAS,PUBLICO,2014,584
ZM DE DELICIAS,PUBLICO,2015,791
ZM DE DELICIAS,PUBLICO,2016,861
ZM DE DELICIAS,PUBLICO,2017,747
ZM DE DELICIAS,PUBLICO,2018,873
ZM DE DELICIAS,PUBLICO,2019,825
ZM DE DELICIAS,PUBLICO,2020,836
ZM DE DELICIAS,PUBLICO,2021,701
ZM DE DELICIAS,PUBLICO,2022,908
ZM DE DELICIAS,PUBLICO,2023,917
ZM DE DELICIAS,PUBLICO,2024,1062
ZM DE DURANGO,PRIVADO,2014,1475
ZM DE DURANGO,PRIVADO,2015,1756
ZM DE DURANGO,PRIVADO,2016,1965
ZM DE DURANGO,PRIVADO,2017,2245
ZM DE DURANGO,PRIVADO,2018,2176
ZM DE DURANGO,PRIVADO,2019,2213
ZM DE DURANGO,PRIVADO,2020,2652
ZM DE DURANGO,PRIVADO,2021,2562
ZM DE DURANGO,PRIVADO,2022,3652
ZM DE DURANGO,PRIVADO,2023,3901
ZM DE DURANGO,PRIVADO,2024,3292
ZM DE DURANGO,PUBLICO,2014,4510
ZM DE DURANGO,PUBLICO,2015,4705
ZM DE DURANGO,PUBLICO,2016,4693
ZM DE DURANGO,PUBLICO,2017,4825
ZM DE DURANGO,PUBLICO,2018,5017
ZM DE DURANGO,PUBLICO,2019,5209
ZM DE DURANGO,PUBLICO,2020,5355
ZM DE DURANGO,PUBLICO,2021,5112
ZM DE DURANGO,PUBLICO,2022,5393
ZM DE DURANGO,PUBLICO,2023,4890
ZM DE DURANGO,PUBLICO,2024,5282
ZM DE ENSENADA,PRIVADO,2014,816
ZM DE ENSENADA,PRIVADO,2015,1109
ZM DE ENSENADA,PRIVADO,2016,1102
ZM DE ENSENADA,PRIVADO,2017,1676
ZM DE ENSENADA,PRIVADO,2018,1747
ZM DE ENSENADA,PRIVADO,2019,2377
ZM DE ENSENADA,PRIVADO,2020,1820
ZM DE ENSENADA,PRIVADO,2021,1805
ZM DE ENSENADA,PRIVADO,2022,2222
ZM DE ENSENADA,PRIVADO,2023,2222
ZM DE ENSENADA,PRIVADO,2024,2167
ZM DE ENSENADA,PUBLICO,2014,2359
ZM DE ENSENADA,PUBLICO,2015,2314
ZM DE ENSENADA,PUBLICO,2016,2321
ZM DE ENSENADA,PUBLICO,2017,2343
ZM DE ENSENADA,PUBLICO,2018,2517
ZM DE ENSENADA,PUBLICO,2019,2740
ZM DE ENSENADA,PUBLICO,2020,2621
ZM DE ENSENADA,PUBLICO,2021,2536
ZM DE ENSENADA,PUBLICO,2022,2720
ZM DE ENSENADA,PUBLICO,2023,2959
ZM DE ENSENADA,PUBLICO,2024,2917
ZM DE GUADALAJARA,PRIVADO,2014,16820
ZM DE GUADALAJARA,PRIVADO,2015,17904
ZM DE GUADALAJARA,PRIVADO,2016,17788
ZM DE GUADALAJARA,PRIVADO,2017,20544
ZM DE GUADALAJARA,PRIVADO,2018,21452
ZM DE GUADALAJARA,PRIVADO,2019,20856
ZM DE GUADALAJARA,PRIVADO,2020,14421
ZM DE GUADALAJARA,PRIVADO,2021,18532
ZM DE GUADALAJARA,PRIVADO,2022,21346
ZM DE GUADALAJARA,PRIVADO,2023,20344
ZM DE GUADALAJARA,PRIVADO,2024,20477
ZM DE GUADALAJARA,PUBLICO,2014,15401
ZM DE GUADALAJARA,PUBLICO,2015,16098
ZM DE GUADALAJARA,PUBLICO,2016,15266
ZM DE GUADALAJARA,PUBLICO,2017,15710
ZM DE GUADALAJARA,PUBLICO,2018,16016
ZM DE GUADALAJARA,PUBLICO,2019,16590
ZM DE GUADALAJARA,PUBLICO,2020,17116
ZM DE GUADALAJARA,PUBLICO,2021,17958
ZM DE GUADALAJARA,PUBLICO,2022,17568
